file.index,sample.no,date.time,bin_11.5,bin_15.4,bin_20.5,bin_27.4,bin_36.5,bin_48.7,bin_64.9,bin_86.6,bin_115.5,bin_154,bin_205.4,bin_273.8,bin_365.2,total.conc.num.cm3,median.nm,mean.nm,geo.mean.nm,mode.nm,gsd,particle.density.g.cc,location,period,day
6,11,3/2/17 13:05,522.028,1039.2615,1363.2267,2639.4373,3380.4563,3476.6648,3123.1516,2586.7817,1731.5033,669.3624,0,0,0,20531.8735,48.0086,55.762,46.4644,48.6968,1.8579,1.2,above,off peak,2
6,12,3/2/17 13:06,660.1775,909.2991,1426.6104,3523.218,4944.2944,5122.0625,4247.7598,2936.4924,1430.3286,114.1092,0,0,0,25314.352,45.9185,50.9694,44.291,48.6968,1.7252,1.2,above,off peak,2
6,13,3/2/17 13:07,1146.7975,1874.455,2013.087,4043.1055,5400.0747,5356.9282,4178.5767,2664.1191,1220.1896,144.4668,0,0,0,28041.8,41.706,46.981,40.0637,36.5174,1.7848,1.2,above,off peak,2
6,14,3/2/17 13:08,563.6227,1077.0253,1366.0942,2744.4436,3741.1697,3992.876,3554.2908,2734.031,1613.2886,466.1679,0,0,0,21853.0097,47.7111,54.135,45.757,48.6968,1.8153,1.2,above,off peak,2
6,15,3/2/17 13:09,541.2167,1053.4154,1361.6462,2642.4966,3880.9685,4381.5249,3928.3889,2775.823,1343.4352,146.4535,0,0,0,22055.3689,47.6274,52.1893,44.9855,48.6968,1.7588,1.2,above,off peak,2
6,16,3/2/17 13:10,448.9973,1048.1381,1392.4316,2607.2107,3473.8875,3719.4421,3368.2507,2644.0762,1568.6027,430.4802,0,0,0,20701.5171,47.8798,54.316,45.9224,48.6968,1.8133,1.2,above,off peak,2
6,17,3/2/17 13:11,491.6781,1008.2769,1359.9711,2676.4089,3666.114,3976.998,3607.1121,2795.8845,1619.8361,400.2246,0,0,0,21602.5043,48.3198,54.3922,46.2119,48.6968,1.8,1.2,above,off peak,2
6,18,3/2/17 13:12,510.7527,1042.952,1383.374,2725.2866,3762.957,4085.8196,3672.9333,2789.8445,1569.4448,361.4746,0,0,0,21904.8392,47.9183,53.7955,45.791,48.6968,1.7939,1.2,above,off peak,2
6,19,3/2/17 13:13,576.0749,1052.3187,1322.4564,2810.0374,3788.1086,3959.2805,3467.5286,2682.0107,1598.9635,454.5804,0,0,0,21711.3598,47.2969,53.8969,45.5624,48.6968,1.8135,1.2,above,off peak,2
6,20,3/2/17 13:14,530.3701,1452.2671,1913.2289,3179.1418,3948.0579,4007.5391,3472.3293,2632.0881,1501.312,354.8922,0,0,0,22991.2266,44.2827,51.1325,43.0491,48.6968,1.8191,1.2,above,off peak,2
6,21,3/2/17 13:15,591.8498,963.2897,1396.4882,3411.9797,4621.7183,4503.0122,3398.3201,2104.6184,943.3295,83.7171,0,0,0,22018.323,42.6823,47.987,41.8041,36.5174,1.71,1.2,above,off peak,2
6,22,3/2/17 13:16,947.5374,1545.5939,1596.9095,2896.3958,3793.2,3859.0774,3232.6765,2314.5212,1248.9004,276.9963,0,0,0,21711.8084,42.8879,49.306,41.2166,48.6968,1.8492,1.2,above,off peak,2
6,23,3/2/17 13:17,594.3805,1045.1119,1221.6538,2625.325,3781.1143,4077.5027,3475.6328,2382.3799,1133.665,98.616,0,0,0,20435.3819,45.9183,50.6319,43.6222,48.6968,1.7589,1.2,above,off peak,2
6,24,3/2/17 13:18,1297.9265,1936.2838,2025.5924,4184.9336,5271.3652,4664.873,2989.1426,1372.8912,231.2601,0,0,0,0,23974.2686,37.0904,40.0582,34.9938,36.5174,1.7063,1.2,above,off peak,2
6,25,3/2/17 13:19,1202.8978,2691.0088,2764.8601,3889.6182,4382.7314,3966.5452,2965.0771,1902.1006,916.4914,136.4461,0,0,0,24817.7767,36.4745,42.5475,35.5345,36.5174,1.829,1.2,above,off peak,2
6,26,3/2/17 13:20,632.243,1243.8131,1481.6416,2672.0583,3473.6006,3586.7268,3103.0437,2316.9932,1291.9667,278.8159,0,0,0,20080.903,44.735,51.0854,43.0056,48.6968,1.8262,1.2,above,off peak,2
6,27,3/2/17 13:21,489.5516,1075.4081,1479.0045,2831.3137,3711.5811,3857.1504,3385.2959,2610.8184,1565.6655,481.2066,0,0,0,21486.9958,46.8683,53.7214,45.3401,48.6968,1.8146,1.2,above,off peak,2
6,28,3/2/17 13:22,467.9955,1086.4377,1525.6964,2896.8635,3720.2031,3955.9626,3753.2,3280.4763,2269.3743,904.4153,0,0,0,23860.6248,50.6287,58.2729,48.6751,48.6968,1.8546,1.2,above,off peak,2
6,29,3/2/17 13:23,402.3598,1063.6584,1515.9542,2736.2881,3917.3938,4868.0508,5294.3491,4933.5195,3510.8127,1423.1279,0,0,0,29665.5144,57.9952,64.1419,54.2772,64.9382,1.83,1.2,above,off peak,2
6,30,3/2/17 13:24,433.9439,964.5297,1490.0587,2957.3809,4151.1841,5209.0386,5960.3745,6000.0503,4561.9243,1995.8237,0,0,0,33724.3087,62.0824,67.5325,57.3016,86.5964,1.8269,1.2,above,off peak,2
6,31,3/2/17 13:25,464.238,960.2009,1409.8021,2886.7136,4050.325,5085.9868,5864.4214,5987.2266,4621.3716,2056.6262,0,0,0,33386.9122,62.7508,68.0925,57.7178,86.5964,1.8328,1.2,above,off peak,2
6,32,3/2/17 13:26,456.3772,1026.6508,1498.8158,2988.4377,4228.2456,4980.2192,5098.3452,4541.5435,3095.127,1150.6029,0,0,0,29064.3648,54.9726,61.5731,52.1814,64.9382,1.818,1.2,above,off peak,2
7,1,3/2/17 13:36,643.7109,1268.0204,1605.8776,2908.5725,3663.7581,4167.7568,4588.4668,4764.7212,3927.8411,2061.2495,44.2568,0,0,29644.2316,59.1484,66.3533,54.5967,86.5964,1.9293,1.2,below,off peak,2
7,2,3/2/17 13:37,843.7,1236.3152,1347.8615,2824.0227,4040.4961,4301.146,3673.8574,2660.7161,1733.296,947.5368,272.5074,0,0,23881.4551,48.0529,57.0236,46.6583,48.6968,1.9048,1.2,below,off peak,2
7,3,3/2/17 13:38,790.9476,1309.0386,1568.9711,3122.8086,3980.3682,3883.4902,3164.3867,2336.4968,1418.7979,495.1638,0,0,0,22070.4694,43.5698,51.1727,42.7153,36.5174,1.845,1.2,below,off peak,2
7,4,3/2/17 13:39,574.9168,1152.6046,1578.0811,3015.4509,3855.2188,4109.312,3983.6726,3630.2112,2705.2166,1280.8508,0,0,0,25885.5353,52.1739,60.3794,50.0014,48.6968,1.8873,1.2,below,off peak,2
7,5,3/2/17 13:40,543.7082,1243.0105,1626.3329,2737.1775,3386.613,3782.3596,4056.3293,4096.687,3347.1553,1783.4591,88.8212,0,0,26691.6537,56.9418,65.1591,53.3358,86.5964,1.9382,1.2,below,off peak,2
7,6,3/2/17 13:41,81.093,2549.6309,4889.5864,6930.2437,6663.9575,5639.2437,5043.7915,5078.8843,4321.0083,2291.9485,0,0,0,43489.3877,44.1951,56.7408,46.0437,27.3842,1.9119,1.2,below,off peak,2
7,7,3/2/17 13:42,1056.0857,3747.1233,5217.1284,7376.4458,7676.5151,7177.9995,6764.5728,6547.2124,5175.0786,2481.8728,0,0,0,53220.0344,45.6493,56.2748,45.3813,36.5174,1.95,1.2,below,off peak,2
7,8,3/2/17 13:43,1461.0314,6818.3457,7875.2114,8815.3408,7923.1479,6786.0254,6311.1113,6369.144,5288.2866,2705.2446,0,0,0,60352.8893,38.9533,51.9184,40.6209,27.3842,2.0165,1.2,below,off peak,2
7,9,3/2/17 13:44,1038.3223,2834.7092,3634.9238,5266.3774,5572.8086,5406.7017,5420.8018,5572.4204,4622.5537,2373.0911,0,0,0,41742.71,49.2414,59.2944,47.4979,36.5174,1.9872,1.2,below,off peak,2
7,10,3/2/17 13:45,841.7916,2880.3494,3586.2188,4626.1152,4761.0811,4533.5493,4319.6055,4081.3752,3066.1658,1333.8049,0,0,0,34030.0567,43.6085,54.1417,43.4472,36.5174,1.9631,1.2,below,off peak,2
7,11,3/2/17 13:46,930.8719,1778.0713,2535.4333,4846.6167,5356.2524,5048.5654,4986.3975,5462.5913,5056.7432,3107.051,518.0623,0,0,39626.6564,54.8965,66.3695,53.0075,86.5964,2.0031,1.2,below,off peak,2
7,12,3/2/17 13:47,603.1114,2078.4036,3201.8857,5111.105,5364.9097,5773.8008,7157.729,8866.9502,8425.707,5111.7329,740.301,0,0,52435.6362,67.6313,73.7399,59.9238,86.5964,1.978,1.2,below,off peak,2
7,13,3/2/17 13:48,669.7604,2268.3494,3134.0701,4568.0415,4857.3472,5488.6641,6937.9878,8416.8135,7773.4995,4561.7373,529.8335,0,0,49206.1041,66.6961,72.4529,58.7792,86.5964,1.9873,1.2,below,off peak,2
7,14,3/2/17 13:49,781.694,2000.4767,2565.2563,3820.8164,4379.5176,5070.2397,6129.6445,6993.4917,6248.5728,3669.2351,551.6472,0,0,42210.592,64.507,71.2505,57.6178,86.5964,1.9941,1.2,below,off peak,2
7,15,3/2/17 13:50,747.7561,1959.4064,2459.7673,3921.7061,4552.7705,5113.6636,5905.1211,6543.957,5680.9985,3131.1931,177.7187,0,0,40194.0585,61.1239,68.0908,55.4347,86.5964,1.9669,1.2,below,off peak,2
7,16,3/2/17 13:51,593.5653,1947.2902,2615.2888,3788.0613,4304.0571,5077.8521,6250.7075,7133.7456,6208.7856,3399.6475,194.3492,0,0,41513.3502,64.186,69.9246,57.2075,86.5964,1.957,1.2,below,off peak,2
